date,type,amount,category,description
2026-01-01,CREDIT,2500,Sales,New Year opening sales
2026-01-01,DEBIT,800,Inventory,Stock replenishment
2026-01-02,CREDIT,1800,Sales,Morning rush
2026-01-02,DEBIT,200,Utilities,Electricity bill partial
2026-01-03,CREDIT,2200,Sales,Weekend crowd
2026-01-03,DEBIT,350,Supplies,Packaging materials
2026-01-04,CREDIT,1600,Sales,Regular day sales
2026-01-04,DEBIT,1200,Inventory,Bulk stock purchase
2026-01-05,CREDIT,2800,Sales,Sunday special
2026-01-05,DEBIT,150,Transport,Delivery charges
2026-01-06,CREDIT,1400,Sales,Monday slow start
2026-01-06,DEBIT,500,Rent,Monthly rent partial
2026-01-07,CREDIT,1900,Sales,Steady business
2026-01-07,DEBIT,280,Maintenance,Equipment repair
2026-01-08,CREDIT,2100,Sales,Good footfall
2026-01-08,DEBIT,600,Inventory,Fresh stock
2026-01-09,CREDIT,1700,Sales,Average day
2026-01-09,DEBIT,180,Supplies,Cleaning supplies
2026-01-10,CREDIT,2400,Sales,Festival nearby boost
2026-01-10,DEBIT,900,Inventory,Festival stock
2026-01-11,CREDIT,3200,Sales,Festival day rush
2026-01-11,DEBIT,450,Staff,Helper payment
2026-01-12,CREDIT,2900,Sales,Post-festival
2026-01-12,DEBIT,750,Inventory,Restock
2026-01-13,CREDIT,1500,Sales,Back to normal
2026-01-13,DEBIT,200,Utilities,Water bill
2026-01-14,CREDIT,1800,Sales,Steady day
2026-01-14,DEBIT,320,Transport,Goods pickup
2026-01-15,CREDIT,2000,Sales,Mid-month
2026-01-15,DEBIT,1500,Rent,Remaining rent
2026-01-16,CREDIT,1650,Sales,Regular business
2026-01-16,DEBIT,400,Inventory,Daily stock
2026-01-17,CREDIT,2300,Sales,Good day
2026-01-17,DEBIT,250,Supplies,Office supplies
2026-01-18,CREDIT,1900,Sales,Saturday crowd
2026-01-18,DEBIT,550,Inventory,Weekend stock
2026-01-19,CREDIT,2600,Sales,Sunday business
2026-01-19,DEBIT,180,Maintenance,Minor repairs
